Risk_Band,Count,Defaults,Default_Rate,Avg_Probability,Avg_Score,Percentage,Lift
Very High Risk,3281,1176,0.35842730874733314,0.3584273492497883,500.0465057979614,10.98095652464942,5.349375403627156
High Risk,6414,529,0.08247583411287808,0.0824758339525756,579.1629992637737,21.46658188025034,1.2309168069224194
Medium Risk,6916,180,0.026026604973973393,0.02602662910486988,631.1374260112768,23.14669165634727,0.38843602897969576
Low Risk,8499,95,0.011177785621837863,0.011177785549624477,667.6778803027231,28.444727065832186,0.1668237045928539
Very Low Risk,4769,22,0.004613126441602013,0.004613126487884976,708.779671219626,15.96104287292078,0.06884895352079248
