Model,AUC,KS,Gini,Brier,LogLoss,Calib_Gap,P@10%,Lift@10%
Logistic Regression,0.857808502434897,0.5676822908052954,0.7156170048697941,0.14753873987752472,0.47306490401945844,0.268995944104736,0.3672581185135588,5.481171490043267
XGBoost,0.8674562156285441,0.582589541605935,0.7349124312570883,0.04840461592049653,0.17553343519527748,9.985496068898314e-09,0.37730164044191494,5.6310667905913965
LightGBM,0.8477218874679145,0.5509625073781905,0.6954437749358291,0.050258774090231696,0.1834622793468976,1.3877787807814457e-17,0.36123200535654504,5.39123430971439
