Strategy,Auto_Approve_Cutoff,Manual_Review_Cutoff,Auto_Approve_Count,Manual_Review_Count,Manual_Approved_Count,Total_Approved,Approval_Rate,Total_Defaults,Approved_Default_Rate,Total_Revenue,Total_EL,Total_Processing_Cost,Total_Cost,Profit,Profit_Per_Approved,EL_Per_Approved,ROI
Very Conservative,733.9872112584667,633.9872112584667,140,16091,8045.5,8185.5,0.2739549516382744,87.5,0.01068963410909535,36441000.0,525000.3775600344,409275.0,934275.3775600344,35506724.622439966,4337.758795729029,64.13785078004207,3800.455997799041
Conservative (Optimal-Based),683.9872112584667,583.9872112584667,5082,17376,8688.0,13770.0,0.4608587971484989,220.5,0.016013071895424835,60972750.0,1323000.4974743351,688500.0,2011500.4974743351,58961249.502525665,4281.862708970637,96.07846749995171,2931.20730402792
Moderate,633.9872112584667,533.9872112584667,16231,10788,5394.0,21625.0,0.7237524682887647,537.0,0.024832369942196533,94896000.0,3222001.2653432786,1081250.0,4303251.265343279,90592748.73465672,4189.260057093952,148.99427816616318,2105.2163387310356
Aggressive,583.9872112584667,483.9872112584667,22458,6521,3260.5,25718.5,0.8607550453495766,956.0,0.037171685751501836,111431250.0,5736001.3733021915,1285925.0,7021926.3733021915,104409323.62669781,4059.6972462117856,223.03016790645611,1486.9042777729578
Very Aggressive,533.9872112584667,433.9872112584667,27019,2803,1401.5,28420.5,0.9511864520231601,1427.0,0.05021023556939533,121470750.0,8562001.779276878,1421025.0,9983026.779276878,111487723.22072312,3922.792463915945,301.26147602177576,1116.7727552544816
